% Model:              model_with_piezo_tape_with_glue.mph
% Version:            COMSOL 5.6.0.341
% Date:               Sep 6 2022, 19:18
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -5.509979111079182E-13   1.5
2500                      -90                      1.1142871751139505E-12   1.5
2500                      -80                      2.3511327668929626E-12   1.5
2500                      -70                      2.6093125153462862E-12   1.5
2500                      -60                      1.851638298184452E-12    1.5
2500                      -50                      5.220040733959686E-13    1.5
2500                      -40                      -9.448735825117451E-13   1.5
2500                      -30                      -2.224696972741669E-12   1.5
2500                      -20                      -2.632076856959521E-12   1.5
2500                      -10                      -1.9436725669068142E-12  1.5
2500                      0                        -5.615506218889994E-13   1.5
