% Model:              model_with_piezo_tape_with_glue.mph
% Version:            COMSOL 5.6.0.341
% Date:               Sep 6 2022, 19:22
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -3.752083371822925E-14   1.5
2500                      -90                      7.587866118720378E-14    1.5
2500                      -80                      1.6010307810183264E-13   1.5
2500                      -70                      1.7768412372078236E-13   1.5
2500                      -60                      1.2608943027167752E-13   1.5
2500                      -50                      3.5546465137706516E-14   1.5
2500                      -40                      -6.434224859920473E-14   1.5
2500                      -30                      -1.5149328791433653E-13  1.5
2500                      -20                      -1.792342876309097E-13   1.5
2500                      -10                      -1.3235660919099716E-13  1.5
2500                      0                        -3.82394326430038E-14    1.5
