% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 21 2022, 03:26
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -2.255844664962552E-13   1.5
2500                      -90                      1.6361873537131695E-12   1.5
2500                      -80                      2.8314421898568423E-12   1.5
2500                      -70                      2.9337702578232497E-12   1.5
2500                      -60                      1.5629001247150537E-12   1.5
2500                      -50                      2.8582042012608803E-13   1.5
2500                      -40                      -1.069746529448381E-12   1.5
2500                      -30                      -2.7208824286757865E-12  1.5
2500                      -20                      -2.908744490149919E-12   1.5
2500                      -10                      -1.988250633579984E-12   1.5
2500                      0                        -2.521743000495077E-13   1.5
