% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 21 2022, 03:33
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -3.5554813022065177E-12  1.5
2500                      -90                      2.5788271831861494E-11   1.5
2500                      -80                      4.462691922322803E-11    1.5
2500                      -70                      4.623973209992623E-11    1.5
2500                      -60                      2.4633177350241443E-11   1.5
2500                      -50                      4.504872056761373E-12    1.5
2500                      -40                      -1.686048619671199E-11   1.5
2500                      -30                      -4.2884365004942777E-11  1.5
2500                      -20                      -4.584529603597503E-11   1.5
2500                      -10                      -3.133721067589573E-11   1.5
2500                      0                        -3.9745689171209095E-12  1.5
