% Model:              model_with_piezo_tape_with_glue.mph
% Version:            COMSOL 5.6.0.341
% Date:               Sep 6 2022, 19:12
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -1.7476504266261298E-12  1.5
2500                      -90                      3.5342864604523094E-12   1.5
2500                      -80                      7.457302650833105E-12    1.5
2500                      -70                      8.27619495229769E-12     1.5
2500                      -60                      5.8730103990187256E-12   1.5
2500                      -50                      1.6556880220038232E-12   1.5
2500                      -40                      -2.99694188723944E-12    1.5
2500                      -30                      -7.0562746884131125E-12  1.5
2500                      -20                      -8.348398694871254E-12   1.5
2500                      -10                      -6.164923899512105E-12   1.5
2500                      0                        -1.781121423748627E-12   1.5
