% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 23 2022, 04:42
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -2.718413272791332E-12   1.5
2500                      -90                      1.9757088590241448E-11   1.5
2500                      -80                      3.461398406267991E-11    1.5
2500                      -70                      3.604463600721832E-11    1.5
2500                      -60                      2.2788710246011345E-11   1.5
2500                      -50                      3.3095091620427444E-12   1.5
2500                      -40                      -1.720449539597216E-11   1.5
2500                      -30                      -3.349927188307552E-11   1.5
2500                      -20                      -3.5672866103808955E-11  1.5
2500                      -10                      -2.397602008901051E-11   1.5
2500                      0                        -3.0363975064211503E-12  1.5
