% Model:              model_with_piezo_tape_with_glue.mph
% Version:            COMSOL 5.6.0.341
% Date:               Sep 6 2022, 19:21
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -1.4251279849444616E-13  1.5
2500                      -90                      2.882046927043102E-13    1.5
2500                      -80                      6.081084945815088E-13    1.5
2500                      -70                      6.748853692753613E-13    1.5
2500                      -60                      4.789167986914143E-13    1.5
2500                      -50                      1.3501369029807088E-13   1.5
2500                      -40                      -2.443867313327252E-13   1.5
2500                      -30                      -5.754065215046238E-13   1.5
2500                      -20                      -6.807732500887873E-13   1.5
2500                      -10                      -5.02720992733568E-13    1.5
2500                      0                        -1.452422032974478E-13   1.5
