% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 23 2022, 04:45
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -1.692396050071573E-12   1.5
2500                      -90                      1.2300123393907597E-11   1.5
2500                      -80                      2.1549545277439843E-11   1.5
2500                      -70                      2.2440222837104477E-11   1.5
2500                      -60                      1.4187512837930673E-11   1.5
2500                      -50                      2.0603932042281318E-12   1.5
2500                      -40                      -1.07109615535452E-11    1.5
2500                      -30                      -2.0855561581634677E-11  1.5
2500                      -20                      -2.2208770937417093E-11  1.5
2500                      -10                      -1.4926693487374605E-11  1.5
2500                      0                        -1.890362733924077E-12   1.5
