% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 21 2022, 03:35
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -4.443481427266711E-12   1.5
2500                      -90                      3.2229028135809424E-11   1.5
2500                      -80                      5.577272663474013E-11    1.5
2500                      -70                      5.778834799626957E-11    1.5
2500                      -60                      3.078544274205523E-11    1.5
2500                      -50                      5.6299875079987276E-12   1.5
2500                      -40                      -2.1071481158562672E-11  1.5
2500                      -30                      -5.35949603502856E-11    1.5
2500                      -20                      -5.729539945413071E-11   1.5
2500                      -10                      -3.9163843593548275E-11  1.5
2500                      0                        -4.967238374553203E-12   1.5
