% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 21 2022, 03:33
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -2.766367605387088E-12   1.5
2500                      -90                      2.0064748969455478E-11   1.5
2500                      -80                      3.472229303819003E-11    1.5
2500                      -70                      3.5977153608797156E-11   1.5
2500                      -60                      1.916601946326248E-11    1.5
2500                      -50                      3.5050478585242237E-12   1.5
2500                      -40                      -1.3118421631531235E-11  1.5
2500                      -30                      -3.336648629065324E-11   1.5
2500                      -20                      -3.567025981378828E-11   1.5
2500                      -10                      -2.438214044405369E-11   1.5
2500                      0                        -3.092441715493346E-12   1.5
