% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 23 2022, 04:46
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -1.2701318864723634E-12  1.5
2500                      -90                      9.231160123243203E-12    1.5
2500                      -80                      1.6172789220769124E-11   1.5
2500                      -70                      1.6841236756467093E-11   1.5
2500                      -60                      1.0647633244261448E-11   1.5
2500                      -50                      1.5463112828994218E-12   1.5
2500                      -40                      -8.038504818875691E-12   1.5
2500                      -30                      -1.5651959110881137E-11  1.5
2500                      -20                      -1.6667533657854993E-11  1.5
2500                      -10                      -1.1202383364769295E-11  1.5
2500                      0                        -1.41870455515041E-12    1.5
