% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 23 2022, 04:51
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -8.951516297892651E-13   1.5
2500                      -90                      6.5058503901676975E-12   1.5
2500                      -80                      1.1398106593027977E-11   1.5
2500                      -70                      1.1869208773345398E-11   1.5
2500                      -60                      7.504139021713714E-12    1.5
2500                      -50                      1.0897947526453594E-12   1.5
2500                      -40                      -5.665301978741595E-12   1.5
2500                      -30                      -1.103104083657547E-11   1.5
2500                      -20                      -1.1746787933848502E-11  1.5
2500                      -10                      -7.895110604897297E-12   1.5
2500                      0                        -9.998612807548172E-13   1.5
