% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 23 2022, 04:52
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -2.974753028545974E-13   1.5
2500                      -90                      2.162013396095799E-12    1.5
2500                      -80                      3.787799851883821E-12    1.5
2500                      -70                      3.944355745993767E-12    1.5
2500                      -60                      2.4937630160747925E-12   1.5
2500                      -50                      3.6215878216050643E-13   1.5
2500                      -40                      -1.882683744075808E-12   1.5
2500                      -30                      -3.6658171693572245E-12  1.5
2500                      -20                      -3.903673055938975E-12   1.5
2500                      -10                      -2.623690043232066E-12   1.5
2500                      0                        -3.32272240150789E-13    1.5
