% Model:              model_with_piezo_tape_with_glue.mph
% Version:            COMSOL 5.6.0.341
% Date:               Sep 6 2022, 19:16
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -9.243770851574E-13      1.5
2500                      -90                      1.869374656770937E-12    1.5
2500                      -80                      3.9443584268877314E-12   1.5
2500                      -70                      4.37749154501868E-12     1.5
2500                      -60                      3.106385665598137E-12    1.5
2500                      -50                      8.757358132917714E-13    1.5
2500                      -40                      -1.585159345317289E-12   1.5
2500                      -30                      -3.7322444632939205E-12  1.5
2500                      -20                      -4.41568195431332E-12    1.5
2500                      -10                      -3.2607861947840803E-12  1.5
2500                      0                        -9.420807530573104E-13   1.5
