% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 23 2022, 04:55
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -1.3800705998269687E-13  1.5
2500                      -90                      1.003018097890646E-12    1.5
2500                      -80                      1.757265616155478E-12    1.5
2500                      -70                      1.8298962462000728E-12   1.5
2500                      -60                      1.1569259660874459E-12   1.5
2500                      -50                      1.6801552361859072E-13   1.5
2500                      -40                      -8.73429309607685E-13    1.5
2500                      -30                      -1.7006744597722633E-12  1.5
2500                      -20                      -1.8110224156924429E-12  1.5
2500                      -10                      -1.2172027247245414E-12  1.5
2500                      0                        -1.541503262193878E-13   1.5
