% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 21 2022, 05:22
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -8.721782964892772E-13   1.5
2500                      -90                      6.325998953102905E-12    1.5
2500                      -80                      1.094721841491107E-11    1.5
2500                      -70                      1.1342849911123646E-11   1.5
2500                      -60                      6.042648190825678E-12    1.5
2500                      -50                      1.1050688507064587E-12   1.5
2500                      -40                      -4.135966098260204E-12   1.5
2500                      -30                      -1.051976068403341E-11   1.5
2500                      -20                      -1.1246092666440676E-11  1.5
2500                      -10                      -7.687182887689894E-12   1.5
2500                      0                        -9.749826964982023E-13   1.5
