% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 23 2022, 04:49
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -5.335773528571509E-13   1.5
2500                      -90                      3.8779736457405106E-12   1.5
2500                      -80                      6.794124415450868E-12    1.5
2500                      -70                      7.074936566078714E-12    1.5
2500                      -60                      4.4730283690773604E-12   1.5
2500                      -50                      6.49599218640169E-13     1.5
2500                      -40                      -3.376943896819764E-12   1.5
2500                      -30                      -6.57532575817511E-12    1.5
2500                      -20                      -7.0019645853506055E-12  1.5
2500                      -10                      -4.706076687877539E-12   1.5
2500                      0                        -5.959921399386627E-13   1.5
