% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Aug 23 2022, 04:44
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -2.1751565121776175E-12  1.5
2500                      -90                      1.5808766216242758E-11   1.5
2500                      -80                      2.769661022474761E-11    1.5
2500                      -70                      2.8841355920692503E-11   1.5
2500                      -60                      1.8234538505182756E-11   1.5
2500                      -50                      2.6481258306085705E-12   1.5
2500                      -40                      -1.3766291745914159E-11  1.5
2500                      -30                      -2.6804665839038093E-11  1.5
2500                      -20                      -2.8543881752740138E-11  1.5
2500                      -10                      -1.9184572395456825E-11  1.5
2500                      0                        -2.4295937176803528E-12  1.5
