% Model:              model_with_piezo_tape_with_glue.mph
% Version:            COMSOL 5.6.0.341
% Date:               Sep 6 2022, 19:11
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -2.2461723462015124E-12  1.5
2500                      -90                      4.5424510474595645E-12   1.5
2500                      -80                      9.5845180113552E-12      1.5
2500                      -70                      1.06370015138041E-11     1.5
2500                      -60                      7.548302192617775E-12    1.5
2500                      -50                      2.1279774217455234E-12   1.5
2500                      -40                      -3.8518275095108725E-12  1.5
2500                      -30                      -9.06909575898961E-12    1.5
2500                      -20                      -1.0729801565456115E-11  1.5
2500                      -10                      -7.923484793382505E-12   1.5
2500                      0                        -2.2891910340304265E-12  1.5
