% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 21 2022, 03:36
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -4.862490911557045E-13   1.5
2500                      -90                      3.526814705205923E-12    1.5
2500                      -80                      6.1031959020239326E-12   1.5
2500                      -70                      6.323764857064888E-12    1.5
2500                      -60                      3.3688435068913604E-12   1.5
2500                      -50                      6.160881628041341E-13    1.5
2500                      -40                      -2.3058470549431718E-12  1.5
2500                      -30                      -5.864883467533465E-12   1.5
2500                      -20                      -6.269821618078406E-12   1.5
2500                      -10                      -4.285689872999259E-12   1.5
2500                      0                        -5.435636864383541E-13   1.5
