% Model:              model_with_piezo_tape_with_glue.mph
% Version:            COMSOL 5.6.0.341
% Date:               Sep 6 2022, 19:34
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -2.807165684268615E-12   1.5
2500                      -90                      5.67695204887964E-12     1.5
2500                      -80                      1.1978301712798793E-11   1.5
2500                      -70                      1.3293648496544285E-11   1.5
2500                      -60                      9.43353030119742E-12     1.5
2500                      -50                      2.6594509567910317E-12   1.5
2500                      -40                      -4.813841655874213E-12   1.5
2500                      -30                      -1.1334150046424682E-11  1.5
2500                      -20                      -1.3409625848386401E-11  1.5
2500                      -10                      -9.902416726578084E-12   1.5
2500                      0                        -2.860928515272274E-12   1.5
