% Model:              model_with_piezo_tape.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 21 2022, 05:23
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -1.4632027003837553E-12  1.5
2500                      -90                      1.0612759785588445E-11   1.5
2500                      -80                      1.836551036746596E-11    1.5
2500                      -70                      1.9029238272580947E-11   1.5
2500                      -60                      1.0137398724443358E-11   1.5
2500                      -50                      1.853909611114309E-12    1.5
2500                      -40                      -6.938669292801731E-12   1.5
2500                      -30                      -1.7648389443182323E-11  1.5
2500                      -20                      -1.8866914281873585E-11  1.5
2500                      -10                      -1.2896338747407485E-11  1.5
2500                      0                        -1.6356716511954284E-12  1.5
