% Model:              model_with_piezo_tape_with_glue.mph
% Version:            COMSOL 5.6.0.341
% Date:               Sep 6 2022, 19:13
% Dimension:          2
% Nodes:              11
% Expressions:        2
% Description:        Particle trajectories
% x                       y                        Color                    Radius
2500                      -100                     -1.3115999255453937E-12  1.5
2500                      -90                      2.6524582878592525E-12   1.5
2500                      -80                      5.596655631230544E-12    1.5
2500                      -70                      6.2112288120386845E-12   1.5
2500                      -60                      4.407654920413021E-12    1.5
2500                      -50                      1.2425827575713787E-12   1.5
2500                      -40                      -2.2491847890617718E-12  1.5
2500                      -30                      -5.295686834703436E-12   1.5
2500                      -20                      -6.265417236644843E-12   1.5
2500                      -10                      -4.626734044977702E-12   1.5
2500                      0                        -1.3367196844308449E-12  1.5
